variable	label
a8_2	HOW OLD CHILD WITH ONLY ONE PARENT?
a8_3a	HOW LONG LIVED WITH ONLY ONE PARENT(YY)?
a8_3b	HOW LONG LIVED WITH ONLY ONE PARENT(MM)?
a8_4a	AT THIS TIME DID CHILD LIVE WITH MOTHER
a8_4b	AT THIS TIME DID CHILD LIVE WITH FATHER
a8_4c	AT THIS TIME DID CHILD LIVE WITH OTHER
a8_5a	REASON: DEATH OF A PARENT
a8_5b	REASON: ILLNESS, DISABLEMENT OF PARENT
a8_5c	REASON: DIVORCE, SEPARATION
a8_5d	REASON: OTHER REASON
a9_1a	EVER BEEN IN CARE: YES NOW
a9_1b	EVER BEEN IN CARE: YES IN PAST
a9_1c	EVER BEEN IN CARE: NO NEVER
a9_1d	EVER BEEN IN CARE: NOT KNOWN
a9_2	NUMBER OF OCCASIONS IN CARE
a9_3a	AGE FIRST IN CARE (YY)
a9_3b	AGE FIRST IN CARE (MM)
a9_4a	AGE LAST IN CARE (YY)
a9_4b	AGE LAST IN CARE (MM)
a9_5a	LONGEST PERIOD IN CARE (YY)
a9_5b	LONGEST PERIOD IN CARE (MM)
a9_6	REASON(S) WHY IN CARE
a9_7	NAME AND ADDRESS OF PLACE CHILD IN CARE
a10_1	HOW LONG CHILD LIVED AT PRESENT ADDRESS
a10_2	NUMBER OF YEARS LIVED AT PRESENT ADDRESS
a11_1	NO. OF PLACES LIVED FOR 6 OR MORE MONTHS
a11_2a	REASON FOR LAST MOVE: FATHER'S JOB
a11_2b	REASON FOR LAST MOVE: MOTHER'S JOB
a11_2c	REASON FOR LAST MOVE: BETTER ACCOMMODATION
a11_2d	REASON FOR LAST MOVE: HEALTH CHILDREN
a11_2e	REASON FOR LAST MOVE: HEALTH OF PARENT(S)
a11_2f	REASON FOR LAST MOVE: MARITAL/DIVORCE/SEPARATION
a11_2g	OTHER REASON FOR LAST MOVE
a11_3	MAIN REASON FOR LAST MOVE
a12_1	ETHNIC GROUP STUDY CHILD 1
a12_2	ETHNIC GROUP MOTHER 1
a12_3	ETHNIC GROUP FATHER 1
a12_4	ETHNIC GROUP STUDY CHILD 2
a12_5	ETHNIC GROUP MOTHER 2
a12_6	ETHNIC GROUP FATHER 2
a12_7	ETHNIC GROUP STUDY CHILD OTHER
a12_8	ETHNIC GROUP MOTHER OTHER
a12_9	ETHNIC GROUP FATHER OTHER
a12_10	ETHNIC GROUP NO MOTHER FIGURE
a12_11	ETHNIC GROUP NO FATHER FIGURE
b1_1	DOES CHILD HAVE NORMAL VISION BOTH EYES?
b1_2	VISION PROBLEM TEXT POOL IDENTIFIER
b2	HAS CHILD EVER HAD SQUINT?
b3_1	HAS CHILD ALWAYS HAD GOOD HEARING?
b3_2	HEARING PROBLEM TEXT POOL IDENTIFIER
b3_3	WHICH EAR HAD PROBLEMS WITH?
b3_4	IS HEARING NORMAL NOW?
b4_1	DOES CHILD WEAR GLASSES?
b4_2	DOES CHILD WEAR HEARING AID?
b4_3	DOES CHILD WEAR DENTAL BRACE?
b4_4	DOES CHILD WEAR SURGICAL AID/MED APPLIAN
b4_5	SURG AID/MED APPL TEXT POOL IDENTIFIER
b5	HOW OFTEN DOES CHILD HAVE DENTAL EXAM?
b6_1	HAS CHILD EVER HAD DENTAL GAS?
b6_2	HOW MANY TIMES CHILD HAD DENTAL GAS?
b7_1	HAS CHILD HAD WHEEZING ATTACKS?
b7_2	WHEEZING DUE TO ASTHMA
b7_3	WHEEZING DUE TO WHEEZY BRONCHITIS
b7_4	WHEEZING DUE TO OTHER CAUSE
b7_5	WHEEZING DUE TO OTHER CAUSE 1
b7_6	WHEEZING DUE TO OTHER CAUSE 2
b7_7	WHEEZING DUE TO OTHER CAUSE 3
b7_8	WHEEZING DUE TO OTHER CAUSE 4
b7_9	AGE OF OCCURRENCE, UNDER ONE YEAR
b7_10	AGE OF OCCURRENCE, 1 TO 5 YEARS
b7_11	AGE OF OCCURRENCE, 5 TO 9 YEARS
b7_12	AGE OF OCCURRENCE, SINCE 9TH BIRTHDAY
b7_13	DESCRIPTION WHEEZING TEXT POOL IDENT 1
b7_14	DESCRIPTION WHEEZING TEXT POOL IDENT 2
b7_15	DESCRIPTION WHEEZING TEXT POOL IDENT 3
b7_16	SEEN BY DOCTOR GENERAL PRACTITIONER
b7_17	SEEN BY DOCTOR AT OUTPATIENTS
b7_18	SEEN BY DOCTOR, ADMITTED TO HOSPITAL
b7_19	NOT SEEN BY DOCTOR
b7_20	WHEEZED DURING LAST 12 MONTHS
b7_21	NUMBER OF ATTACKS DURING LAST 12 MONTHS
b7_22	PARTICULAR FACTORS BROUGHT ON ATTACKS
b7_23	ATTACKS BROUGHT ON BY FACTOR 1
b7_24	ATTACKS BROUGHT ON BY FACTOR 2
b7_25	ATTACKS BROUGHT ON BY FACTOR 3
b7_26	ATTACKS BROUGHT ON BY FACTOR 4
b7_27	BROUGHT ON BY FACTOR 5
b7_28	GIVEN MEDICATION IN PAST 12 MONTHS
b7_29	MEDICATION GIVEN: DRUG CODE 1
b7_30	DURATION OF DRUG 1
b7_31	MEDICATION GIVEN: DRUG CODE 2
b7_32	DURATION OF DRUG 2
b7_33	MEDICATION GIVEN: DRUG CODE 3
b7_34	DURATION OF DRUG 3
b7_35	MEDICATION GIVEN: DRUG CODE 4
b7_36	DURATION OF DRUG 4
b7_37	IS CHILD STILL ON MEDICATION?
b8_1	CHILD EVER HAD CONVULSIONS
b8_2	CONVULSION DUE TO EPILEPSY
b8_3	CONVULSION DUE TO FEBRILE CONVULSIONS
b8_4	CONVULSION DUE TO FAINTING, BLACKOUTS
b8_5	CONVULSION DUE TO BREATH HOLDING
b8_6	CONVULSION DUE TO IMMUNISATION REACTION
b8_7	CONVULSION DUE TO OTHER CAUSE
b8_8	OTHER CAUSE CONVULSION TEXT POOL IDENTIFIER
b8_9	1ST ATTACK DESCRIPTION, TEXT POOL IDENT 1
b8_10	1ST ATTACK DESCRIPTION, TEXT POOL IDENT 2
b8_11	1ST ATTACK DESCRIPTION, TEXT POOL IDENT 3
b8_12	SUBS ATTACK DESCRIPTION, TEXT POOL IDENT1
b8_13	SUBS ATTACK DESCRIPTION, TEXT POOL IDENT2
b8_14	SUBS ATTACK DESCRIPTION, TEXT POOL IDENT3
b8_15	INVESTIGATION CARRIED OUT 1
b8_16	INVESTIGATION CARRIED OUT 2
b8_17	INVESTIGATION CARRIED OUT 3
b8_18	INVESTIGATION CARRIED OUT 4
b8_19	INVESTIGATION CARRIED OUT 5
b8_20	INVESTIGATION CARRIED OUT 6
b8_21	CHILD SEEN BY GP AT HOME
b8_22	CHILD SEEN BY GP AT SURGERY
b8_23	CHILD SEEN BY HOSPITAL OUTPATIENTS
b8_24	CHILD SEEN WHEN ADMITTED TO HOSPITAL
b8_25	CHILD NOT SEEN BY DOCTOR
b8_26	NOT KNOWN IF CHILD SEEN BY DOCTOR
b8_27	AGE ATTACKS OCCURRED UNDER ONE YEAR
b8_28	AGE ATTACKS OCCURRED, 1 TO 5 YEARS
b8_29	AGE ATTACKS OCCURRED, 5 TO 9 YEARS
b8_30	AGE ATTACKS OCCURRED IN PAST 12 MONTHS
b8_31a	AGE MOST RECENT ATTACK (YY)
b8_31b	AGE MOST RECENT ATTACK (MM)
b8_32	REGULAR MEDICATION SINCE 5TH BIRTHDAY
b8_33	REGULAR MEDICATION DRUG CODE 1
b8_34	REGULAR MEDICATION AGE GIVEN DRUG 1
b8_35	REGULAR MEDICATION DURATION OF DRUG 1
b8_36	REGULAR MEDICATION DRUG CODE 2
b8_37	REGULAR MEDICATION AGE GIVEN DRUG 2
b8_38	REGULAR MEDICATION DURATION OF DRUG 2
b8_39	REGULAR MEDICATION DRUG CODE 3
b8_40	REGULAR MEDICATION AGE GIVEN DRUG 3
b8_41	REGULAR MEDICATION DURATION OF DRUG 3
b8_42	REGULAR MEDICATION DRUG CODE 4
b8_43	REGULAR MEDICATION AGE GIVEN DRUG 4
b8_44	REGULAR MEDICATION DURATION OF DRUG 4
b8_45	CHILD STILL ON MEDICATION
b9_1	CHILD EVER HAD ANY ABNORMALITY
b9_2	CONGENITAL ABNORMALITY 1 TEXT POOL IDENT
b9_3	CONGENITAL ABNORMALITY 2 TEXT POOL IDENT
b9_4	CONGENITAL ABNORMALITY 3 TEXT POOL IDENT
b9_5	CONGENITAL ABNORMALITY 4 TEXT POOL IDENT
b10_1	CHILD EVER HAD BRONCHITIS
b10_2	AGE FIRST BRONCHITIS ATTACK
b10_3	NUMBER OF ATTACKS PAST 12 MONTHS
b11_1	IN PAST 12 MONTHS HAD ECZEMA
b11_2	PREVIOUS TO PAST 12 MONTHS HAD ECZEMA
b11_3	NO NEVER HAD ECZEMA
b11_4	NOT KNOWN IF HAD ECZEMA
b11_5	IN PAST 12 MONTHS HAD HAYFEVER
b11_6	PREVIOUS TO PAST 12 MONTHS HAD HAYFEVER
b11_7	NO NEVER HAD HAYFEVER
b11_8	NOT KNOWN IF HAD HAYFEVER
b11_9	IN PAST 12 MNTHS HAD RECURRENT ABDO PAIN
b11_10	PREV TO PAST 12MNTHS HAD RECUR ABDO PAIN
b11_11	NO NEVER HAD RECURRENT ABDOMINAL PAIN
b11_12	NOT KNOWN IF HAD RECURRENT ABDO PAIN
b11_13	IN PAST 12 MONTHS HAD PNEUMONIA
b11_14	PREVIOUS TO PAST 12 MONTHS HAD PNEUMONIA
b11_15	NO NEVER HAD RECURRENT PNEUMONIA
b11_16	NOT KNOWN IF HAD PNEUMONIA
b11_17	IN PAST 12 MONTHS HAD MIGRAINE
b11_18	PREVIOUS TO PAST 12 MONTHS HAD MIGRAINE
b11_19	NO NEVER HAD RECURRENT MIGRAINE
b11_20	NOT KNOWN IF HAD MIGRAINE
b11_21	IN PAST 12 MONTHS HAD PLEURISY
b11_22	PREVIOUS TO PAST 12 MONTHS HAD PLEURISY
b11_23	NO NEVER HAD RECURRENT PLEURISY
b11_24	NOT KNOWN IF HAD PLEURISY
b12_1	EVER HAD MEASLES
b12_2	AGE HAD MEASLES
b12_3	EVER HAD MUMPS
b12_4	AGE HAD MUMPS
b12_5	EVER HAD WHOOPING COUGH
b12_6	AGE HAD WHOOPING COUGH
b12_7	EVER HAD CHICKEN POX
b12_8	AGE HAD CHICKEN POX
b12_9	EVER HAD MENINGITIS
b12_10	AGE HAD MENINGITIS
b12_11	EVER HAD OTHER ACUTE FEVER
b12_12	AGE HAD OTHER ACUTE FEVER
b12_13	OTHER ACUTE FEVER 1
b12_14	OTHER ACUTE FEVER 2
b12_15	OTHER ACUTE FEVER 3
b13_1	EVER HAD TONSILLECTOMY
b13_2	AGE HAD TONSILLECTOMY
b13_3	EVER HAD HERNIA OPERATION
b13_4	AGE HAD HERNIA OPERATION
b13_5	EVER HAD APPENDICECTOMY
b13_6	AGE HAD APPENDICECTOMY
b13_7	EVER HAD OPERATION FOR SQUINT
b13_8	AGE HAD OPERATION FOR SQUINT
b13_9	EVER HAD CIRCUMCISION
b13_10	AGE HAD CIRCUMCISION
b13_11	OTHER OPERATION 1 TEXT POOL IDENTIFIER
b13_12	EVER HAD OTHER OPERATION 1
b13_13	AGE HAD OTHER OPERATION 1
b13_14	OTHER OPERATION 2 TEXT POOL IDENTIFIER
b13_15	EVER HAD OTHER OPERATION 2
b13_16	AGE HAD OTHER OPERATION 2
b13_17	OTHER OPERATION 3 TEXT POOL IDENTIFIER
b13_18	EVER HAD OTHER OPERATION 3
b13_19	AGE HAD OTHER OPERATION 3
b13_20	OTHER OPERATION 4 TEXT POOL IDENTIFIER
b13_21	EVER HAD OTHER OPERATION 4
b13_22	AGE HAD OTHER OPERATION 4
b13_23	NEVER HAD OPERATION
b14_1	CHILD EVER HAD IMMUNISATION, VACCINATION
b14_2	VACCINATED AGAINST DIPHTHERIA
b14_3	VACCINATED AGAINST WHOOPING COUGH
b14_4	VACCINATED AGAINST TETANUS
b14_5	VACCINATED AGAINST SMALLPOX
b14_6	VACCINATED AGAINST POLIOMYELITIS
b14_7	VACCINATED AGAINST MEASLES
b14_8	VACCINATED AGAINST TB (BCG)
b14_9	VACCINATED AGAINST OTHER
b14_10	OTHER VACCINATION 1
b14_11	OTHER VACCINATION 2
b14_12	OTHER VACCINATION 3
b15_1	EVER HAD ANY REACTION TO IMMUNISATION
b15_2	DESCRIPTION OF REACTION TEXT POOL ID 1
b15_3	DESCRIPTION OF REACTION TEXT POOL ID 2
b15_4	DESCRIPTION OF REACTION TEXT POOL ID 3
b15_5	DISEASE BEING IMMUNISED AGAINST 1
b15_6	DISEASE BEING IMMUNISED AGAINST 2
b15_7	DISEASE BEING IMMUNISED AGAINST 3
b15_8	DISEASE BEING IMMUNISED AGAINST 4
b15_9a	AGE OF CHILD AT TIME OF REACTION(YY)
b15_9b	AGE OF CHILD AT TIME OF REACTION(MM)
b15_10	TIME OF REACTION: HOURS
b15_11	TIME OF REACTION: DAYS
b16_1	HAS CHILD EVER BEEN ADMITTED TO HOSPITAL
b16_2	TOTAL NUMBER OF HOSPITAL ADMISSIONS
b16_3	1ST ADMISSION AGE
b16_4	1ST ADMISSION, NUMBER OF NIGHTS
b16_5	1ST ADMISSION, 1ST DIAGNOSIS DESCRIPTION
b16_6	1ST ADMISSION, 1ST DIAGNOSIS ICD CODE
b16_7	1ST ADMISSION, 2ND DIAGNOSIS DESCRIPTION
b16_8	1ST ADMISSION, 2ND DIAGNOSIS ICD CODE
b16_9	1ST ADMISSION, 3RD DIAGNOSIS DESCRIPTION
b16_10	1ST ADMISSION, 3RD DIAGNOSIS ICD CODE
b16_11a	1ST ADMISSION, 4TH DIAGNOSIS DESCRPTN (A)
b16_11b	1ST ADMISSION, 4TH DIAGNOSIS DESCRPTN(B)
b16_12	1ST ADMISSION, 4TH DIAGNOSIS ICD CODE
b16_13	1ST ADMISSION, 5TH DIAGNOSIS DESCRIPTION
b16_14	1ST ADMISSION, 5TH DIAGNOSIS ICD CODE
b16_15	1ST ADMISSION NUMBER OF DIAGNOSES CODED
b16_16	1ST ADMISSION OPERATION 1 OPCS CODE
b16_17	1ST ADMISSION OPERATION 2 OPCS CODE
b16_18a	1ST ADMISSION OPERATION 3 OPCS CODE (A)
b16_18b	1ST ADMISSION OPERATION 3 OPCS CODE (B)
b16_19	1ST ADMISSION, NUMBER OF OPERATIONS CODED
b16_21	2ND ADMISSION AGE
b16_22	2ND ADMISSION, NUMBER OF NIGHTS
b16_23a	2ND ADMISSION, 1ST DIAGNOSIS DESCRIPTION(A)
b16_23b	2ND ADMISSION, 1ST DIAGNOSIS DESCRIPTION(B)
b16_24	2ND ADMISSION, 1ST DIAGNOSIS ICD CODE
b16_25	2ND ADMISSION, 2ND DIAGNOSIS DESCRIPTION
b16_26	2ND ADMISSION, 2ND DIAGNOSIS ICD CODE
b16_27	2ND ADMISSION, 3RD DIAGNOSIS DESCRIPTION
b16_28a	2ND ADMISSION, 3RD DIAGNOSIS ICD CODE (A)
b16_28b	2ND ADMISSION, 3RD DIAGNOSIS ICD CODE (B)
b16_29	2ND ADMISSION, 4TH DIAGNOSIS DESCRPTN
b16_30	2ND ADMISSION, 4TH DIAGNOSIS ICD CODE
b16_31	2ND ADMISSION, 5TH DIAGNOSIS DESCRIPTION
b16_32	2ND ADMISSION, 5TH DIAGNOSIS ICD CODE
b16_33	2ND ADMISSION NUMBER OF DIAGNOSES CODED
b16_34a	2ND ADMISSION OPERATION 1 OPCS CODE (A)
b16_34b	2ND ADMISSION OPERATION 1 OPCS CODE (B)
b16_35	2ND ADMISSION OPERATION 2 OPCS CODE
b16_36	2ND ADMISSION OPERATION 3 OPCS CODE
b16_37	2ND ADMISSION, NUMBER OF OPERATIONS CODED
b16_39	3RD ADMISSION AGE
b16_40	3RD ADMISSION, NUMBER OF NIGHTS
b16_41a	3RD ADMISSION, 1ST DIAGNOSIS DESCRIPTION(A)
b16_41b	3RD ADMISSION, 1ST DIAGNOSIS DESCRIPTION(B)
b16_42	3RD ADMISSION, 1ST DIAGNOSIS ICD CODE
b16_43	3RD ADMISSION, 2ND DIAGNOSIS DESCRIPTION
b16_44	3RD ADMISSION, 2ND DIAGNOSIS ICD CODE
b16_45a	3RD ADMISSION, 3RD DIAGNOSIS DESCRIPTION(A)
b16_45b	3RD ADMISSION, 3RD DIAGNOSIS DESCRIPTION(B)
b16_46	3RD ADMISSION, 3RD DIAGNOSIS ICD CODE
b16_47	3RD ADMISSION, 4TH DIAGNOSIS DESCRPTN
b16_48	3RD ADMISSION, 4TH DIAGNOSIS ICD CODE
b16_49	3RD ADMISSION, 5TH DIAGNOSIS DESCRIPTION
b16_50a	3RD ADMISSION, 5TH DIAGNOSIS ICD CODE (A)
b16_50b	3RD ADMISSION, 5TH DIAGNOSIS ICD CODE (B)
b16_51	3RD ADMISSION NUMBER OF DIAGNOSES CODED
b16_52	3RD ADMISSION OPERATION 1 OPCS CODE
b16_53	3RD ADMISSION OPERATION 2 OPCS CODE
b16_54	3RD ADMISSION OPERATION 3 OPCS CODE (A)
b16_55	3RD ADMISSION, NUMBER OF OPERATIONS CODED
b16_57	4TH ADMISSION AGE
b16_58	4TH ADMISSION, NUMBER OF NIGHTS
b16_59a	4TH ADMISSION, 1ST DIAGNOSIS DESCRIPTION(A)
b16_59b	4TH ADMISSION, 1ST DIAGNOSIS DESCRIPTION(B)
b16_60	4TH ADMISSION, 1ST DIAGNOSIS ICD CODE
b16_61	4TH ADMISSION, 2ND DIAGNOSIS DESCRIPTION
b16_62	4TH ADMISSION, 2ND DIAGNOSIS ICD CODE
b16_63a	4TH ADMISSION, 3RD DIAGNOSIS DESCRIPTION(A)
b16_63b	4TH ADMISSION, 3RD DIAGNOSIS DESCRIPTION(B)
b16_64	4TH ADMISSION, 3RD DIAGNOSIS ICD CODE
b16_65	4TH ADMISSION, 4TH DIAGNOSIS DESCRPTN
b16_66	4TH ADMISSION, 4TH DIAGNOSIS ICD CODE
b16_67a	4TH ADMISSION, 5TH DIAGNOSIS DESCRIPTION(A)
b16_67b	4TH ADMISSION, 5TH DIAGNOSIS DESCRIPTION(B)
b16_68	4TH ADMISSION, 5TH DIAGNOSIS ICD CODE
b16_69	4TH ADMISSION NUMBER OF DIAGNOSES CODED
b16_70	4TH ADMISSION OPERATION 1 OPCS CODE
b16_71	4TH ADMISSION OPERATION 2 OPCS CODE
b16_72	4TH ADMISSION OPERATION 3 OPCS CODE
b16_73	4TH ADMISSION, NUMBER OF OPERATIONS CODED
b17_1	HAS CHILD EVER ATTENDED OUTPATIENTS?
b17_2	1ST EPISODE AGE
b17_3	1ST EPISODE, NUMBER OF ATTENDANCES
b17_4	1ST EPISODE, 1ST DIAGNOSIS DESCRIPTION
b17_5	1ST EPISODE, 1ST DIAGNOSIS ICD CODE
b17_6	1ST EPISODE, 2ND DIAGNOSIS DESCRIPTION
b17_7	1ST EPISODE, 2ND DIAGNOSIS ICD CODE
b17_9	2ND EPISODE AGE
b17_10	2ND EPISODE, NUMBER OF ATTENDANCES
b17_11	2ND EPISODE, 1ST DIAGNOSIS DESCRIPTION
b17_12	2ND EPISODE, 1ST DIAGNOSIS ICD CODE
b17_13a	2ND EPISODE, 2ND DIAGNOSIS DESCRPTN(A)
b17_13b	2ND EPISODE, 2ND DIAGNOSIS DESCRPTN(B)
b17_14	2ND EPISODE, 2ND DIAGNOSIS ICD CODE
b17_16	3RD EPISODE AGE
b17_17	3RD EPISODE, NUMBER OF ATTENDANCES
b17_18	3RD EPISODE, 1ST DIAGNOSIS DESCRIPTION
b17_19	3RD EPISODE, 1ST DIAGNOSIS ICD CODE
b17_20	3RD EPISODE, 2ND DIAGNOSIS DESCRIPTION
b17_21	3RD EPISODE, 2ND DIAGNOSIS ICD CODE
b17_23	4TH EPISODE AGE
b17_24	4TH EPISODE, NUMBER OF ATTENDANCES
b17_25	4TH EPISODE, 1ST DIAGNOSIS DESCRIPTION
b17_26	4TH EPISODE, 1ST DIAGNOSIS ICD CODE
b17_27a	4TH EPISODE, 2ND DIAGNOSIS DESCRPTN(A)
b17_27b	4TH EPISODE, 2ND DIAGNOSIS DESCRPTN(B)
b17_28	4TH EPISODE, 2ND DIAGNOSIS ICD CODE
b17_30	NUMBER OF ATTENDANCES CODED
b18_1	ACCIDENTS: SWALLOWING POISON, MEDICINE
b18_2	ACCIDENTS: BURNS, SCALDS
b18_3	ACCIDENTS: RTA'S
b18_4	ACCIDENTS OTHER TYPE
b18_5	NO ACCIDENTS
b18_6	NOT KNOWN IF ANY ACCIDENTS
b18_7	TOTAL NUMBER OF ACCIDENTS
b18_8	1ST ACCIDENT, AGE
b18_9	1ST ACCIDENT, WHERE IT OCCURED
b18_10	1ST ACCIDENT, WHAT HAPPENED 1
b18_11	1ST ACCIDENT, WHAT HAPPENED 2
b18_12	1ST ACCIDENT, WHAT HAPPENED 3
b18_13	1ST ACCIDENT, WHAT HAPPENED 4
b18_14	1ST ACCIDENT, WHAT HAPPENED 5
b18_15	1ST ACCIDENT, WHAT HAPPENED 6
b18_16	1ST ACCIDENT INJURY, DESCRIPTN 1 ICD CODE
b18_17	1ST ACCIDENT INJURY, DESCRIPTN 2 ICD CODE
b18_18	1ST ACCIDENT INJURY, DESCRIPTN 3 ICD CODE
b18_19	1ST ACCIDENT, WHERE TREATED
b18_20	1ST ACCIDENT, TREATMENT CODE 1
b18_21	1ST ACCIDENT, TREATMENT CODE 2
b18_22	2ND ACCIDENT, AGE
b18_23	2ND ACCIDENT, WHERE IT OCCURED
b18_24	2ND ACCIDENT, WHAT HAPPENED 1
b18_25	2ND ACCIDENT, WHAT HAPPENED 2
b18_26	2ND ACCIDENT, WHAT HAPPENED 3
b18_27	2ND ACCIDENT, WHAT HAPPENED 4
b18_28	2ND ACCIDENT, WHAT HAPPENED 5
b18_29	2ND ACCIDENT, WHAT HAPPENED 6
b18_30	2ND ACCIDENT INJURY, DESCRIPTN 1 ICD CODE
